ID_MN_RESI	NOME_MUNI	POPULACAO
110001	ALTA FLORESTA D'OESTE	22787
110002	ARIQUEMES	109170
110003	CABIXI	5664
110004	CACOAL	98280
110005	CEREJEIRAS	16966
110006	COLORADO DO OESTE	16508
110007	CORUMBIARA	7968
110008	COSTA MARQUES	13510
110009	ESPIGAO D'OESTE	32842
110010	GUAJARA-MIRIM	43594
110011	JARU	55682
110012	JI-PARANA	140101
110013	MACHADINHO D'OESTE	34149
110014	NOVA BRASILANDIA D'OESTE	16374
110015	OURO PRETO DO OESTE	38684
110018	PIMENTA BUENO	39220
110020	PORTO VELHO	517709
110025	PRESIDENTE MEDICI	20443
110026	RIO CRESPO	3767
110028	ROLIM DE MOURA	62959
110029	SANTA LUZIA D'OESTE	7837
110030	VILHENA	109651
110032	SAO MIGUEL DO GUAPORE	22305
110033	NOVA MAMORE	28701
110034	ALVORADA D'OESTE	13720
110037	ALTO ALEGRE DOS PARECIS	12237
110040	ALTO PARAISO	17467
110045	BURITIS	30649
110050	NOVO HORIZONTE DO OESTE	7972
110060	CACAULANDIA	4292
110070	CAMPO NOVO DE RONDONIA	9095
110080	CANDEIAS DO JAMARI	24313
110090	CASTANHEIRAS	3450
110092	CHUPINGUAIA	10191
110094	CUJUBIM	15877
110100	GOVERNADOR JORGE TEIXEIRA	8340
110110	ITAPUA DO OESTE	9228
110120	MINISTRO ANDREAZZA	6519
110130	MIRANTE DA SERRA	9657
110140	MONTE NEGRO	12168
110143	NOVA UNIAO	6541
110145	PARECIS	4372
110146	PIMENTEIRAS DO OESTE	2309
110147	PRIMAVERA DE RONDONIA	3268
110148	SAO FELIPE D'OESTE	5588
110149	SAO FRANCISCO DO GUAPORE	17557
110150	SERINGUEIRAS	12965
110155	TEIXEIROPOLIS	4521
110160	THEOBROMA	8459
110170	URUPA	11314
110175	VALE DO ANARI	8220
110180	VALE DO PARAISO	6790
120001	ACRELANDIA	14712
120005	ASSIS BRASIL	8648
120010	BRASILEIA	28028
120013	BUJARI	13928
120017	CAPIXABA	10981
120020	CRUZEIRO DO SUL	98916
120025	EPITACIOLANDIA	19874
120030	FEIJO	37764
120032	JORDAO	9884
120033	MANCIO LIMA	20479
120034	MANOEL URBANO	12923
120035	MARECHAL THAUMATURGO	18057
120038	PLACIDO DE CASTRO	17107
120039	PORTO WALTER	11333
120040	RIO BRANCO	389001
120042	RODRIGUES ALVES	15560
120043	SANTA ROSA DO PURUS	7217
120045	SENADOR GUIOMARD	22402
120050	SENA MADUREIRA	44049
120060	TARAUACA	46816
120070	XAPURI	19170
120080	PORTO ACRE	17523
130002	ALVARAES	16806
130006	AMATURA	11533
130008	ANAMA	9981
130010	ANORI	18056
130014	APUI	21781
130020	ATALAIA DO NORTE	15889
130030	AUTAZES	45960
130040	BARCELOS	18210
130050	BARREIRINHA	33722
130060	BENJAMIN CONSTANT	40908
130063	BERURI	22495
130068	BOA VISTA DO RAMOS	26479
130070	BOCA DO ACRE	38792
130080	BORBA	34869
130083	CAAPIRANGA	14806
130090	CANUTAMA	18109
130100	CARAUARI	31130
130110	CAREIRO	32336
130115	CAREIRO DA VARZEA	20324
130120	COARI	73576
130130	CODAJAS	24572
130140	EIRUNEPE	35793
130150	ENVIRA	17985
130160	FONTE BOA	28227
130165	GUAJARA	14344
130170	HUMAITA	63454
130180	IPIXUNA	25629
130185	IRANDUBA	68862
130190	ITACOATIARA	113917
130195	ITAMARATI	11956
130200	ITAPIRANGA	10955
130210	JAPURA	9420
130220	JURUA	11093
130230	JUTAI	28202
130240	LABREA	49469
130250	MANACAPURU	111751
130255	MANAQUIRI	16211
130260	MANAUS	2303732
130270	MANICORE	58018
130280	MARAA	15815
130290	MAUES	66336
130300	NHAMUNDA	21251
130310	NOVA OLINDA DO NORTE	28123
130320	NOVO AIRAO	16562
130330	NOVO ARIPUANA	25325
130340	PARINTINS	101855
130350	PAUINI	20229
130353	PRESIDENTE FIGUEIREDO	33291
130356	RIO PRETO DA EVA	25364
130360	SANTA ISABEL DO RIO NEGRO	13947
130370	SANTO ANTONIO DO ICA	30679
130380	SAO GABRIEL DA CACHOEIRA	57396
130390	SAO PAULO DE OLIVENCA	35442
130395	SAO SEBASTIAO DO UATUMA	12338
130400	SILVES	12619
130406	TABATINGA	73348
130410	TAPAUA	20728
130420	TEFE	80137
130423	TONANTINS	20257
130426	UARINI	15640
130430	URUCARA	19617
130440	URUCURITUBA	25965
140002	AMAJARI	16112
140005	ALTO ALEGRE	23589
140010	BOA VISTA	485477
140015	BONFIM	15570
140017	CANTA	21102
140020	CARACARAI	22750
140023	CAROEBE	12004
140028	IRACEMA	10937
140030	MUCAJAI	20006
140040	NORMANDIA	16323
140045	PACARAIMA	23112
140047	RORAINOPOLIS	37787
140050	SAO JOAO DA BALIZA	9969
140060	SAO LUIZ	7848
140070	UIRAMUTA	16186
150010	ABAETETUBA	172344
150013	ABEL FIGUEIREDO	6275
150020	ACARA	63110
150030	AFUA	40473
150034	AGUA AZUL DO NORTE	17596
150040	ALENQUER	75882
150050	ALMEIRIM	36442
150060	ALTAMIRA	138749
150070	ANAJAS	30247
150080	ANANINDEUA	509227
150085	ANAPU	35638
150090	AUGUSTO CORREA	47912
150095	AURORA DO PARA	24193
150100	AVEIRO	19380
150110	BAGRE	35147
150120	BAIAO	56850
150125	BANNACH	4290
150130	BARCARENA	139076
150140	BELEM	1397315
150145	BELTERRA	19075
150150	BENEVIDES	68962
150157	BOM JESUS DO TOCANTINS	19129
150160	BONITO	12961
150170	BRAGANCA	132489
150172	BRASIL NOVO	27130
150175	BREJO GRANDE DO ARAGUAIA	6966
150178	BREU BRANCO	47066
150180	BREVES	116058
150190	BUJARU	25065
150195	CACHOEIRA DO PIRIA	19223
150200	CACHOEIRA DO ARARI	25467
150210	CAMETA	144859
150215	CANAA DOS CARAJAS	89524
150220	CAPANEMA	75309
150230	CAPITAO POCO	60318
150240	CASTANHAL	209126
150250	CHAVES	21501
150260	COLARES	13625
150270	CONCEICAO DO ARAGUAIA	47144
150275	CONCORDIA DO PARA	28270
150276	CUMARU DO NORTE	15150
150277	CURIONOPOLIS	20975
150280	CURRALINHO	36814
150285	CURUA	14954
150290	CURUCA	44880
150293	DOM ELISEU	62823
150295	ELDORADO DOS CARAJAS	29287
150300	FARO	9167
150304	FLORESTA DO ARAGUAIA	18595
150307	GARRAFAO DO NORTE	25558
150309	GOIANESIA DO PARA	26703
150310	GURUPA	34137
150320	IGARAPE-ACU	37925
150330	IGARAPE-MIRI	69446
150340	INHANGAPI	10784
150345	IPIXUNA DO PARA	29264
150350	IRITUIA	32740
150360	ITAITUBA	135369
150370	ITUPIRANGA	52201
150375	JACAREACANGA	26579
150380	JACUNDA	37726
150390	JURUTI	54255
150400	LIMOEIRO DO AJURU	32088
150405	MAE DO RIO	37473
150410	MAGALHAES BARATA	8439
150420	MARABA	290975
150430	MARACANA	27129
150440	MARAPANIM	28159
150442	MARITUBA	119437
150445	MEDICILANDIA	28677
150450	MELGACO	30080
150460	MOCAJUBA	28903
150470	MOJU	91760
150475	MOJUI DOS CAMPOS	25818
150480	MONTE ALEGRE	64002
150490	MUANA	49648
150495	NOVA ESPERANCA DO PIRIA	21304
150497	NOVA IPIXUNA	14400
150500	NOVA TIMBOTEUA	13175
150503	NOVO PROGRESSO	37054
150506	NOVO REPARTIMENTO	63796
150510	OBIDOS	55527
150520	OEIRAS DO PARA	36734
150530	ORIXIMINA	72889
150540	OUREM	18783
150543	OURILANDIA DO NORTE	35252
150548	PACAJA	43741
150549	PALESTINA DO PARA	7063
150550	PARAGOMINAS	113498
150553	PARAUAPEBAS	305771
150555	PAU D'ARCO	7354
150560	PEIXE-BOI	8686
150563	PICARRA	13366
150565	PLACAS	18510
150570	PONTA DE PEDRAS	25736
150580	PORTEL	67580
150590	PORTO DE MOZ	44121
150600	PRAINHA	38733
150610	PRIMAVERA	11379
150611	QUATIPURU	11838
150613	REDENCAO	92694
150616	RIO MARIA	19190
150618	RONDON DO PARA	57031
150619	RUROPOLIS	37198
150620	SALINOPOLIS	48663
150630	SALVATERRA	25687
150635	SANTA BARBARA DO PARA	22530
150640	SANTA CRUZ DO ARARI	7626
150650	SANTA IZABEL DO PARA	79195
150655	SANTA LUZIA DO PARA	21295
150658	SANTA MARIA DAS BARREIRAS	17065
150660	SANTA MARIA DO PARA	25815
150670	SANTANA DO ARAGUAIA	30455
150680	SANTAREM	360871
150690	SANTAREM NOVO	6355
150700	SANTO ANTONIO DO TAUA	29234
150710	SAO CAETANO DE ODIVELAS	17258
150715	SAO DOMINGOS DO ARAGUAIA	21555
150720	SAO DOMINGOS DO CAPIM	32554
150730	SAO FELIX DO XINGU	64651
150740	SAO FRANCISCO DO PARA	15429
150745	SAO GERALDO DO ARAGUAIA	24929
150746	SAO JOAO DA PONTA	4470
150747	SAO JOAO DE PIRABAS	21477
150750	SAO JOAO DO ARAGUAIA	14293
150760	SAO MIGUEL DO GUAMA	55970
150770	SAO SEBASTIAO DA BOA VISTA	27651
150775	SAPUCAIA	6212
150780	SENADOR JOSE PORFIRIO	24989
150790	SOURE	25315
150795	TAILANDIA	75290
150796	TERRA ALTA	10837
150797	TERRA SANTA	19792
150800	TOME-ACU	73058
150803	TRACUATEUA	30494
150805	TRAIRAO	15550
150808	TUCUMA	42883
150810	TUCURUI	96119
150812	ULIANOPOLIS	39360
150815	URUARA	45962
150820	VIGIA	54062
150830	VISEU	62189
150835	VITORIA DO XINGU	16552
150840	XINGUARA	57768
160005	SERRA DO NAVIO	5003
